"transaction_id","utr_number","user_id","timestamp","amount","sender_vpa","receiver_vpa","merchant_category","location_city","device_id","ip_address","status","failure_reason"
"TXN-96247B7E9F70470BAE","UTR20260830010152381DFAB885","USR00000001","2026-08-30 01:01:52","9000.00","customer1.upi@sbi","merchant.pay@hdfc","electronics","Mumbai","dev-cbb634ff8ae4","10.121.156.133","SUCCESS",""
"TXN-36C515FCB60D4F3AA3","UTR20260830010200A74C03E93A","USR00000001","2026-08-30 01:02:00","9150.00","customer1.upi@sbi","merchant.pay@hdfc","electronics","Mumbai","dev-cbb634ff8ae4","10.189.58.200","SUCCESS",""
"TXN-B7BD5238F1A44C608B","UTR202608300102083D98DD488A","USR00000001","2026-08-30 01:02:08","9300.00","customer1.upi@sbi","merchant.pay@hdfc","electronics","Mumbai","dev-cbb634ff8ae4","10.85.40.49","SUCCESS",""
"TXN-2F500E2839A343A2A8","UTR20260830010216AE84FA4F24","USR00000001","2026-08-30 01:02:16","9450.00","customer1.upi@sbi","merchant.pay@hdfc","electronics","Mumbai","dev-cbb634ff8ae4","10.176.6.87","SUCCESS",""
"TXN-7C29BC4F93C24190A5","UTR20260830010224A93C9E600F","USR00000001","2026-08-30 01:02:24","9600.00","customer1.upi@sbi","merchant.pay@hdfc","electronics","Mumbai","dev-cbb634ff8ae4","10.250.185.30","SUCCESS",""
"TXN-E523393A61C34AB5B4","UTR20260830010232D19983318C","USR00000001","2026-08-30 01:02:32","9750.00","customer1.upi@sbi","merchant.pay@hdfc","electronics","Mumbai","dev-cbb634ff8ae4","10.218.71.216","SUCCESS",""
"TXN-1DAC586D17D049649B","UTR2026083001165235C4EB6B12","USR00000002","2026-08-30 01:16:52","1450.00","customer2.upi@hdfc","merchant.food@icici","food_delivery","Delhi","dev-412d4224d548","10.6.194.48","SUCCESS",""
"TXN-606FF9989D9740C08C","UTR2026083001205225EB9D8445","USR00000002","2026-08-30 01:20:52","980.00","customer2.upi@hdfc","merchant.food@icici","food_delivery","Bengaluru","dev-412d4224d548","10.237.249.43","SUCCESS",""
"TXN-5B3C769921A1454CBC","UTR20260830013152CAC6B46FF3","USR00000003","2026-08-30 01:31:52","665.00","customer3.upi@icici","mule.receiver@axis","marketplace","Mumbai","dev-mule-sample","10.182.18.121","SUCCESS",""
"TXN-9C602AA7255E470098","UTR202608300134523D13A885C1","USR00000004","2026-08-30 01:34:52","3734.00","customer4.upi@axis","mule.receiver@axis","marketplace","Delhi","dev-mule-sample","10.34.95.17","SUCCESS",""
"TXN-9C4909E901AE44229D","UTR20260830013752662D24A897","USR00000005","2026-08-30 01:37:52","3542.00","customer5.upi@kotak","mule.receiver@axis","marketplace","Bengaluru","dev-mule-sample","10.64.174.125","SUCCESS",""
"TXN-9DF029D7C46440D79E","UTR20260830015152AA889E38DB","USR00000006","2026-08-30 01:51:52","231.00","customer6.upi@bob","merchant.retry@icici","utility","Chennai","dev-8df7bbfc308c","10.254.150.121","FAILED","beneficiary_not_found"
"TXN-F4E3AB48E4A54CD080","UTR202608300152520CBB174306","USR00000006","2026-08-30 01:52:52","201.00","customer6.upi@bob","merchant.retry@icici","utility","Chennai","dev-8df7bbfc308c","10.103.185.165","FAILED","daily_limit_exceeded"
"TXN-5012D88B2B3F46DA98","UTR20260830015352628E7AF086","USR00000006","2026-08-30 01:53:52","220.00","customer6.upi@bob","merchant.retry@icici","utility","Chennai","dev-8df7bbfc308c","10.15.174.153","FAILED","beneficiary_not_found"
"TXN-76873AE66BE349F4B3","UTR20260830015452160ADB8FA8","USR00000006","2026-08-30 01:54:52","55.00","customer6.upi@bob","merchant.retry@icici","utility","Chennai","dev-8df7bbfc308c","10.119.135.10","FAILED","insufficient_balance"
"TXN-F1E688BB8DCE49BC88","UTR202608300155523AB1A53807","USR00000006","2026-08-30 01:55:52","145.00","customer6.upi@bob","merchant.retry@icici","utility","Chennai","dev-8df7bbfc308c","10.222.244.137","FAILED","beneficiary_not_found"
"TXN-39659D0BD58A4843A0","UTR202608300156525D9CAEDC65","USR00000006","2026-08-30 01:56:52","250.00","customer6.upi@bob","merchant.retry@icici","utility","Chennai","dev-8df7bbfc308c","10.227.18.225","SUCCESS",""
"TXN-FCF258085B93479A95","UTR20260810123252D6953166AD","USR00000152","2026-08-10 12:32:52","11556.00","customer152.upi@canara","merchant30@pnb","fashion","Kolkata","dev-33cc3dee4c2b","10.100.2.11","SUCCESS",""
"TXN-1162447D78924F8C81","UTR202608220516525FD83D5237","USR00000010","2026-08-22 05:16:52","11536.00","customer10.upi@hdfc","merchant44@kotak","electronics","Hyderabad","dev-686fb9da7acb","10.144.79.209","SUCCESS",""
"TXN-5CF14EC346D8454AB0","UTR202608260815524C70D1F79D","USR00000019","2026-08-26 08:15:52","7370.00","customer19.upi@icici","merchant15@kotak","fuel","Lucknow","dev-a9dc77fbbd1a","10.158.227.28","SUCCESS",""
"TXN-59BE786F1B204AF5B8","UTR20260817222952AC3175A64F","USR00000261","2026-08-17 22:29:52","20128.00","customer261.upi@kotak","merchant42@hdfc","fuel","Hyderabad","dev-6e4cd7fb0776","10.120.133.203","SUCCESS",""
"TXN-CBC7CB8BD46C48808E","UTR202608120221527C39F621DF","USR00000082","2026-08-12 02:21:52","14623.00","customer82.upi@hdfc","merchant28@pnb","healthcare","Mumbai","dev-fddf556f145c","10.69.63.234","SUCCESS",""
"TXN-16CBCACB50714F2590","UTR2026082306205223BC89DDA2","USR00000145","2026-08-23 06:20:52","2766.00","customer145.upi@sbi","merchant49@sbi","marketplace","Pune","dev-64c8ffeb7b2f","10.197.121.124","SUCCESS",""
"TXN-9466B49E57D34707A8","UTR202608132115524E6C691281","USR00000067","2026-08-13 21:15:52","22729.00","customer67.upi@icici","merchant33@icici","travel","Surat","dev-d78b695948a5","10.79.70.30","SUCCESS",""
"TXN-E69647ED590D4E67B2","UTR20260823150452B4B01F797A","USR00000233","2026-08-23 15:04:52","17808.00","customer233.upi@sbi","merchant29@axis","food_delivery","Bengaluru","dev-f8eaaa4dfbdb","10.238.98.199","SUCCESS",""
"TXN-A6E289767F1E463D9D","UTR20260813022352E706A71C8B","USR00000281","2026-08-13 02:23:52","8270.00","customer281.upi@sbi","merchant1@axis","grocery","Surat","dev-bb5213233a65","10.184.50.214","SUCCESS",""
"TXN-1A706A7D294342AA8E","UTR20260818230152449282CC6E","USR00000143","2026-08-18 23:01:52","19990.00","customer143.upi@pnb","merchant13@sbi","healthcare","Ahmedabad","dev-f4e7f4af5999","10.202.60.118","SUCCESS",""
"TXN-368CD569A5764650A8","UTR2026081722155218221AD078","USR00000289","2026-08-17 22:15:52","21686.00","customer289.upi@sbi","merchant34@axis","travel","Mumbai","dev-ed9400bb41d0","10.244.45.196","SUCCESS",""
"TXN-C3A6C1A309884E0F8B","UTR202608270734522F6E49A903","USR00000017","2026-08-27 07:34:52","847.00","customer17.upi@sbi","merchant41@hdfc","healthcare","Ahmedabad","dev-69a8ff21516b","10.143.60.45","SUCCESS",""
